# Sun Conjecture 4.3(i): (m+n) | pi(m)^2 + pi(n)^2  [A248044]
# Tool: sun_A248044_targeted_v3
# n range: [10000000001, 100000000000]  seg_width: 1000000000
m,pi_m,a_m,pi_am,sum,quotient,ratio_am_m
18490,2117,10466475895,475288716,10466494385,21583097,566061.432937
18491,2117,10466475894,475288716,10466494385,21583097,566030.820075
18492,2117,10466475893,475288716,10466494385,21583097,566000.210523
53584,5458,10992826260,498077736,10992879844,22567465,205151.281353
53585,5458,10992826259,498077736,10992879844,22567465,205147.452813
53586,5458,10992826258,498077736,10992879844,22567465,205143.624417
53587,5458,10992826257,498077736,10992879844,22567465,205139.796163
23211,2591,11445614383,517642617,11445637594,23411005,493111.644608
33574,3593,12229008891,551419819,12229042465,24864074,364240.450676
69997,6935,13623322836,611308580,13623392833,27430625,194627.238825
69998,6935,13623322835,611308580,13623392833,27430625,194624.458342
80390,7871,16218836207,722110463,16218916597,32150330,201751.912016
80391,7871,16218836206,722110463,16218916597,32150330,201749.402371
94927,9151,17393478178,771999988,17393573105,34264609,183230.041801
94928,9151,17393478177,771999988,17393573105,34264609,183228.111590
66335,6613,29978899371,1299131637,29978965706,56297573,451931.851526
66336,6613,29978899370,1299131637,29978965706,56297573,451925.038742
44857,4661,32348326705,1397197083,32348371562,60348005,721143.337829
44858,4661,32348326704,1397197083,32348371562,60348005,721127.261670
85504,8321,79705931373,3313345334,79706016877,137734361,932189.504269
